Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount,
09/17/2021,Buy,ZS,ZSCALER INC,1,$272.99,,-$272.99,
09/15/2021,Qualified Dividend,ODFL,OLD DOMINION FREIGHT,,,,$0.40,
09/14/2021,Buy,UPST,UPSTART HLDGS INC,1,$274.10,,-$274.10,
08/13/2021,Buy,SHOP,SHOPIFY INC FCLASS A,1,$1500.00,,-$1500.00,
08/05/2021,Buy,ETSY,ETSY INC,1,$182.882,,-$182.88,
08/04/2021,Buy,TTD,THE TRADE DESK INC CLASS A,3,$84.7048,,-$254.11,
08/04/2021,Sell,FSLY,FASTLY INC,2,$45.2101,,$90.42,
08/02/2021,Buy,PINS,PINTEREST INC CLASS A,1,$59.31,,-$59.31,
07/23/2021,Buy,ZBRA,ZEBRA TECHNOLOGIES CLASS A,1,$540.64,,-$540.64,
07/23/2021,Sell,NEE,NEXTERA ENERGY INC,5,$76.53,,$382.65,
07/20/2021,Buy,SQ,SQUARE INC CLASS A,1,$247.4684,,-$247.47,
07/15/2021,Qualified Dividend,NTDOY,NINTENDO LTD FSPONSORED ADR 1 ADR RE 0.125 ORD SHS,,,,$6.37,
06/16/2021,Cash Dividend,ICLN,ISHARES GLOBAL CLEAN ENERGY ETF,,,,$23.11,
06/16/2021,Qualified Dividend,ODFL,OLD DOMINION FREIGHT,,,,$0.40,
06/16/2021,Buy,UPST,UPSTART HLDGS INC,4,$118.56,,-$474.24,
06/15/2021,Qualified Dividend,NEE,NEXTERA ENERGY INC,,,,$1.93,
04/28/2021,Buy,TEAM,ATLASSIAN CORP PLC FCLASS A,2,$236.2619,,-$472.52,
04/28/2021,Buy,PINS,PINTEREST INC CLASS A,6,$66.345,,-$398.07,
03/29/2021,Buy,ABNB,AIRBNB INC CLASS A,2,$175.36,,-$350.72,
03/17/2021,Qualified Dividend,ODFL,OLD DOMINION FREIGHT,,,,$0.40,
03/15/2021,Qualified Dividend,NEE,NEXTERA ENERGY INC,,,,$1.93,
03/05/2021,Buy,LMND,LEMONADE INC,2,$96.20,,-$192.40,
03/03/2021,Buy,LMND,LEMONADE INC,2,$113.02,,-$226.04,
02/16/2021,Buy,LMND,LEMONADE INC,1,$165.73,,-$165.73,
02/16/2021,Buy,PINS,PINTEREST INC CLASS A,1,$86.56,,-$86.56,
02/16/2021,Buy,PYPL,PAYPAL HOLDINGS INCORPOR,1,$306.00,,-$306.00,
01/20/2021,Buy,LMND,LEMONADE INC,2,$146.83,,-$293.66,
01/20/2021,Buy,PINS,PINTEREST INC CLASS A,2,$72.00,,-$144.00,
01/11/2021,Buy,BRKB,BERKSHIRE HATHAWAY CLASS B,2,$231.22,,-$462.44,
01/06/2021,Pr Yr Special Div,ICLN,ISHARES GLOBAL CLEAN ENERGY ETF,,,,$2.62,
12/28/2020,Buy,GM,GENERAL MOTORS CO,11,$41.92,,-$461.12,
12/28/2020,Buy,ETSY,ETSY INC,1,$193.68,,-$193.68,
12/28/2020,Buy,PYPL,PAYPAL HOLDINGS INCORPOR,1,$243.25,,-$243.25,
12/23/2020,Buy,LMND,LEMONADE INC,2,$129.00,,-$258.00,
12/23/2020,Buy,AMZN,AMAZON.COM INC,0.0031,$3195.00,,-$9.90,
12/16/2020,Qualified Dividend,ODFL,OLD DOMINION FREIGHT,,,,$0.30,
12/15/2020,Qualified Dividend,NEE,NEXTERA ENERGY INC,,,,$1.75,
11/24/2020,Buy,ZBRA,ZEBRA TECHNOLOGIES CLASS A,1,$372.558,,-$372.56,
